Date,Vol,Voldif,Feed,pH,PA,IA,FOS/TAC,DS,COD,CO2,CH4
2-3-2020 08:00,301.674,13.611,120.000,7.725,9.736,2.573,0.264,3.840,31.665,56.600,43.400
3-3-2020 08:00,312.982,11.308,180.000,7.844,10.112,2.280,0.225,3.750,25.990,58.900,41.100
4-3-2020 08:00,323.160,10.178,180.000,7.743,10.039,2.091,0.208,3.600,27.970,57.100,42.900
5-3-2020 08:00,333.480,10.320,270.000,7.858,10.135,2.252,0.222,3.580,25.005,58.900,41.100
6-3-2020 08:00,346.352,12.872,270.000,7.892,10.120,2.303,0.228,3.590,26.125,58.700,41.300
7-3-2020 08:00,359.373,13.021,120.000,7.855,10.374,2.282,0.220,3.630,26.923,59.100,40.900
8-3-2020 08:00,372.393,13.021,120.000,7.817,10.629,2.260,0.213,3.670,27.722,59.500,40.500
9-3-2020 08:00,385.414,13.021,120.000,7.780,10.883,2.238,0.206,3.710,28.520,59.900,40.100
10-3-2020 08:00,397.366,11.952,210.000,7.874,10.879,2.362,0.217,3.780,26.775,57.900,42.100
11-3-2020 08:00,409.542,12.176,210.000,7.896,11.251,1.875,0.167,3.590,26.877,57.500,42.500
12-3-2020 08:00,424.084,14.542,315.000,7.926,5.660,0.906,0.160,3.770,20.180,58.400,41.600
13-3-2020 08:00,439.962,15.878,315.000,7.915,5.694,1.041,0.183,3.820,38.010,58.400,41.600
14-3-2020 08:00,453.797,13.835,140.000,7.907,5.833,1.025,0.176,3.853,34.698,58.200,41.800
15-3-2020 08:00,467.633,13.835,140.000,7.900,5.971,1.010,0.169,3.887,31.387,58.000,42.000
16-3-2020 08:00,481.468,13.835,140.000,7.892,6.110,0.995,0.163,3.920,28.075,57.800,42.200
17-3-2020 08:00,490.216,8.748,210.000,7.991,5.800,1.100,0.190,4.050,33.430,56.300,43.700
18-3-2020 08:00,504.184,13.968,210.000,8.038,6.500,0.500,0.077,3.580,28.300,52.800,47.200
19-3-2020 08:00,519.878,15.694,315.000,8.028,6.150,0.850,0.138,3.860,31.225,52.600,47.400
20-3-2020 08:00,536.824,16.946,315.000,8.020,5.650,0.850,0.150,3.820,35.835,52.100,47.900
21-3-2020 08:00,550.421,13.597,140.000,8.026,6.067,0.833,0.139,3.887,34.812,52.800,47.200
22-3-2020 08:00,564.019,13.597,140.000,8.032,6.483,0.817,0.127,3.953,33.788,53.500,46.500
23-3-2020 08:00,577.616,13.597,140.000,8.038,6.900,0.800,0.116,4.020,32.765,54.200,45.800
24-3-2020 08:00,588.344,10.728,210.000,8.049,6.750,0.850,0.126,3.850,29.720,52.400,47.600
25-3-2020 08:00,598.812,10.468,210.000,8.089,7.200,0.850,0.118,3.760,28.510,49.600,47.800
26-3-2020 08:00,610.226,11.414,315.000,8.125,8.500,0.700,0.082,3.440,30.410,49.200,50.200
27-3-2020 08:00,619.352,9.126,315.000,7.926,7.050,1.250,0.177,4.170,40.850,49.700,50.300
28-3-2020 08:00,626.489,7.137,70.000,7.918,7.500,1.033,0.142,4.247,39.417,51.733,48.267
29-3-2020 08:00,633.627,7.137,70.000,7.911,7.950,0.817,0.107,4.323,37.983,53.767,46.233
30-3-2020 08:00,640.764,7.137,70.000,7.903,8.400,0.600,0.071,4.400,36.550,55.800,44.200
31-3-2020 08:00,650.212,9.448,210.000,7.894,7.000,0.900,0.129,4.150,42.400,56.800,43.200
1-4-2020 08:00,660.410,10.198,210.000,7.815,6.250,1.150,0.184,4.250,33.825,55.500,44.500
2-4-2020 08:00,671.316,10.906,210.000,7.815,6.450,1.200,0.186,3.900,39.470,57.000,43.000
3-4-2020 08:00,683.458,12.142,210.000,7.822,6.100,1.150,0.189,4.270,36.960,59.200,40.800
4-4-2020 08:00,692.813,9.355,70.000,7.850,5.692,1.163,0.207,4.243,35.937,56.500,43.500
5-4-2020 08:00,702.167,9.355,70.000,7.879,5.283,1.175,0.225,4.217,34.913,53.800,46.200
6-4-2020 08:00,711.522,9.355,70.000,7.907,4.875,1.188,0.244,4.190,33.890,51.100,48.900
7-4-2020 08:00,722.864,11.342,210.000,8.070,6.250,1.250,0.200,4.150,32.850,51.800,48.200
8-4-2020 08:00,733.776,10.912,210.000,8.085,5.900,1.000,0.169,4.150,41.100,52.300,47.700
9-4-2020 08:00,745.542,11.766,315.000,8.077,5.750,1.350,0.235,4.070,37.040,55.100,44.900
10-4-2020 08:00,757.110,11.568,315.000,8.028,5.000,1.500,0.300,4.080,48.025,54.000,46.000
11-4-2020 08:00,769.545,12.435,140.000,8.037,5.250,1.450,0.278,4.233,47.540,55.500,44.500
12-4-2020 08:00,781.979,12.435,140.000,8.046,5.500,1.400,0.257,4.387,47.055,57.000,43.000
13-4-2020 08:00,794.414,12.435,140.000,8.055,5.750,1.350,0.235,4.540,46.570,58.500,41.500
14-4-2020 08:00,809.262,14.848,210.000,8.011,5.500,1.500,0.273,4.190,34.060,57.600,42.400
15-4-2020 08:00,824.274,15.012,210.000,8.020,5.650,1.750,0.310,4.110,39.880,53.600,46.400
16-4-2020 08:00,839.868,15.594,315.000,8.026,4.950,1.550,0.313,4.130,33.680,55.100,44.900
17-4-2020 08:00,855.602,15.734,315.000,8.026,5.300,1.900,0.358,4.090,32.330,55.400,44.600
18-4-2020 08:00,868.053,12.451,140.000,8.077,5.567,1.700,0.310,4.103,35.737,53.200,46.800
19-4-2020 08:00,880.503,12.451,140.000,8.129,5.833,1.500,0.262,4.117,39.143,51.000,49.000
20-4-2020 08:00,892.954,12.451,140.000,8.180,6.100,1.300,0.213,4.130,42.550,48.800,51.200
21-4-2020 08:00,904.244,11.290,210.000,8.129,5.200,1.200,0.231,3.910,29.940,52.700,47.300
22-4-2020 08:00,915.722,11.478,210.000,8.101,4.950,1.200,0.242,3.940,35.740,53.500,46.500
23-4-2020 08:00,928.170,12.448,315.000,8.023,6.050,1.650,0.273,4.000,32.720,55.900,44.100
24-4-2020 08:00,941.476,13.306,315.000,8.007,5.400,1.750,0.324,4.040,42.260,58.100,41.900
25-4-2020 08:00,953.085,11.609,140.000,8.034,5.467,1.717,0.314,4.180,42.858,56.100,43.900
26-4-2020 08:00,964.695,11.609,140.000,8.062,5.533,1.683,0.304,4.320,43.457,54.100,45.900
27-4-2020 08:00,976.304,11.609,140.000,8.089,5.600,1.650,0.295,4.460,44.055,52.100,47.900
28-4-2020 08:00,989.378,13.074,210.000,8.050,5.450,1.650,0.303,4.270,32.220,59.000,41.000
29-4-2020 08:00,1002.826,13.448,210.000,8.045,5.400,1.600,0.296,4.130,33.530,58.900,41.100
30-4-2020 08:00,1016.836,14.010,315.000,8.004,5.800,1.700,0.293,4.190,34.640,58.700,41.300
1-5-2020 08:00,1030.890,14.054,315.000,7.968,5.900,2.000,0.339,4.210,35.290,59.800,40.200
2-5-2020 08:00,1047.021,16.131,140.000,7.916,5.483,2.067,0.384,4.287,39.553,61.200,38.800
3-5-2020 08:00,1063.153,16.131,140.000,7.865,5.067,2.133,0.428,4.363,43.817,62.600,37.400
4-5-2020 08:00,1079.284,16.131,140.000,7.813,4.650,2.200,0.473,4.440,48.080,64.000,36.000
5-5-2020 08:00,1093.172,13.888,210.000,7.832,4.850,2.300,0.474,4.110,34.140,55.000,45.000
6-5-2020 08:00,1105.058,11.886,210.000,7.816,4.350,2.100,0.483,4.040,35.030,53.000,47.000
7-5-2020 08:00,1117.330,12.272,315.000,7.817,3.750,1.750,0.467,4.110,35.260,54.900,45.100
8-5-2020 08:00,1129.300,11.970,315.000,7.811,4.350,2.250,0.517,4.050,33.730,56.300,43.700